nome,valor,marca,categoria,loc,ano,km_rodados
CHEVROLET S-10,105000,CHEVROLET,Picape,SP,2016,46500.0
CHEVROLET CELTA,28900,CHEVROLET,Hatch,SP,2014,117406.0
VOLKSWAGEN JETTA,49000,VOLKSWAGEN,Sedan,SP,2014,55279.0
CITROEN C4,23499,CITROEN,Sedan,SP,2011,95615.0
JEEP CHEROKEE,87900,JEEP,SUV,SP,2014,85362.0
HYUNDAI HB20,34999,HYUNDAI,Hatch,SP,2014,68980.0
FIAT ARGO,42890,FIAT,Hatch,SP,2019,18550.0
TOYOTA HILUX,197990,TOYOTA,Hatch,SP,2019,0.0
RENAULT SANDERO,22780,RENAULT,Hatch,SP,2014,83000.0
HONDA WR-V,78890,HONDA,Hatch,SP,2019,0.0
FORD ECOSPORT,51900,FORD,Hatch,SP,2016,49737.0
FORD FOCUS,41000,FORD,Hatch,SP,2014,94382.0
